Filename                                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
am/ec_spire/coordinator/diagnostics.rs                                    765               765     0.00%          55                55     0.00%         769               769     0.00%           0                 0         -
am/ec_spire/coordinator/hierarchy_shape.rs                                151               151     0.00%           8                 8     0.00%         188               188     0.00%           0                 0         -
am/ec_spire/coordinator/hierarchy_snapshots.rs                           2508              2508     0.00%         138               138     0.00%        2105              2105     0.00%           0                 0         -
am/ec_spire/coordinator/lifecycle.rs                                       39                39     0.00%           6                 6     0.00%          35                35     0.00%           0                 0         -
am/ec_spire/coordinator/maintenance.rs                                    452               452     0.00%          25                25     0.00%         422               422     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/contracts.rs                    367               367     0.00%          25                25     0.00%         546               546     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/dispatch.rs                    2014              2014     0.00%         125               125     0.00%        1763              1763     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/endpoint_identity.rs            430               430     0.00%          37                37     0.00%         453               453     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/executor_receive.rs             759               759     0.00%          51                51     0.00%         695               695     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/fanout.rs                       789               789     0.00%          44                44     0.00%         674               674     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/fault_matrix.rs                 146               146     0.00%          10                10     0.00%         204               204     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/governance.rs                   293               293     0.00%          32                32     0.00%         271               271     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/libpq_plan.rs                   720               720     0.00%          65                65     0.00%         633               633     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/operator.rs                     394               394     0.00%          19                19     0.00%         716               716     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/payload.rs                      392               392     0.00%          49                49     0.00%         319               319     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/payload_limits.rs                50                50     0.00%           8                 8     0.00%          57                57     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/pipeline.rs                     384               384     0.00%          14                14     0.00%         376               376     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/production_transport.rs        1273              1273     0.00%          60                60     0.00%        1279              1279     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/resolve.rs                      343               343     0.00%          29                29     0.00%         290               290     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/result_contracts.rs              67                67     0.00%           6                 6     0.00%         217               217     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/scan_output.rs                  814               814     0.00%          39                39     0.00%         803               803     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/sort.rs                          39                39     0.00%           9                 9     0.00%          27                27     0.00%           0                 0         -
am/ec_spire/coordinator/remote_candidates/tls.rs                          637               637     0.00%          60                60     0.00%         460               460     0.00%           0                 0         -
