nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1320	2000	0.6600
16	200	1526	2000	0.7630
24	200	1625	2000	0.8125
32	200	1696	2000	0.8480
48	200	1770	2000	0.8850
64	200	1815	2000	0.9075
96	200	1870	2000	0.9350
