nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1827	2000	0.9135
16	200	1931	2000	0.9655
24	200	1975	2000	0.9875
32	200	1983	2000	0.9915
48	200	1991	2000	0.9955
64	200	1997	2000	0.9985
96	200	2000	2000	1.0000
