nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1450	2000	0.7250
16	200	1705	2000	0.8525
24	200	1809	2000	0.9045
32	200	1862	2000	0.9310
48	200	1929	2000	0.9645
64	200	1965	2000	0.9825
96	200	1995	2000	0.9975
