nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1540	2000	0.7700
16	200	1743	2000	0.8715
24	200	1827	2000	0.9135
32	200	1869	2000	0.9345
48	200	1931	2000	0.9655
64	200	1965	2000	0.9825
96	200	1993	2000	0.9965
