nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1282	2000	0.6410
16	200	1438	2000	0.7190
24	200	1545	2000	0.7725
32	200	1622	2000	0.8110
48	200	1727	2000	0.8635
64	200	1782	2000	0.8910
96	200	1843	2000	0.9215
