nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1496	2000	0.7480
16	200	1721	2000	0.8605
24	200	1834	2000	0.9170
32	200	1880	2000	0.9400
48	200	1936	2000	0.9680
64	200	1969	2000	0.9845
96	200	1992	2000	0.9960
