nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1557	2000	0.7785
16	200	1762	2000	0.8810
24	200	1857	2000	0.9285
32	200	1891	2000	0.9455
48	200	1945	2000	0.9725
64	200	1966	2000	0.9830
96	200	1992	2000	0.9960
