nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1746	2000	0.8730
16	200	1893	2000	0.9465
24	200	1949	2000	0.9745
32	200	1967	2000	0.9835
48	200	1985	2000	0.9925
64	200	1994	2000	0.9970
96	200	2000	2000	1.0000
