nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1430	2000	0.7150
16	200	1674	2000	0.8370
24	200	1822	2000	0.9110
32	200	1878	2000	0.9390
48	200	1942	2000	0.9710
64	200	1969	2000	0.9845
96	200	1992	2000	0.9960
