nprobe	queries	contained_truth	truth_total	route_stage_containment
8	200	1673	2000	0.8365
16	200	1847	2000	0.9235
24	200	1921	2000	0.9605
32	200	1947	2000	0.9735
48	200	1974	2000	0.9870
64	200	1988	2000	0.9940
96	200	1999	2000	0.9995
