101	434
103	381
105	407
107	295
109	146
11	301
111	260
113	305
115	219
117	646
119	218
121	168
123	104
125	196
127	313
129	255
13	358
131	530
133	83
135	151
137	93
139	124
141	178
143	301
145	26
147	120
149	152
15	155
151	517
153	436
155	618
157	669
159	267
161	112
163	705
165	442
167	136
169	515
17	399
171	178
173	472
175	269
177	404
179	87
181	466
183	219
185	186
187	124
189	482
19	327
191	106
193	186
195	252
197	333
199	310
201	488
203	527
205	215
207	188
209	470
21	94
211	233
213	252
215	185
217	140
219	594
221	253
223	508
225	256
227	146
229	299
23	142
231	74
233	194
235	220
237	135
239	347
241	1115
243	112
245	400
247	526
249	16
25	123
251	367
253	52
255	483
257	83
259	40
261	224
263	38
265	115
267	354
269	166
27	462
271	62
273	645
275	167
277	249
279	636
281	947
283	368
285	600
287	155
289	442
29	276
291	464
293	187
295	126
297	285
299	420
3	410
301	434
303	103
305	464
307	338
309	209
31	268
311	598
313	600
315	94
317	194
33	317
35	220
37	284
39	265
41	103
43	82
45	140
47	856
49	723
5	311
51	335
53	159
55	422
57	335
59	227
61	222
63	122
65	373
67	480
69	327
7	488
71	267
73	337
75	297
77	396
79	348
81	165
83	166
85	41
87	180
89	250
9	142
91	408
93	556
95	331
97	477
99	304
