10	291
100	1796
102	26
104	374
106	598
108	1542
110	981
112	68
114	1238
116	1344
118	1515
12	1023
120	582
122	162
124	708
126	321
128	303
130	1026
132	955
134	419
136	2293
138	1423
14	912
140	1687
142	521
144	473
146	775
148	1877
150	106
152	395
154	908
156	746
158	489
16	1110
160	294
162	3325
164	84
166	1481
168	442
170	1588
172	781
174	639
176	166
178	276
18	691
180	275
182	230
184	386
186	1665
188	1570
190	2877
192	410
194	1562
196	243
198	982
2	2712
20	900
200	65
202	62
204	370
206	365
208	1427
210	1647
212	1343
214	453
216	1817
218	802
22	843
220	744
222	758
224	650
226	1186
228	1348
230	420
232	464
234	485
236	1930
238	63
24	2240
240	303
242	148
244	1392
246	539
248	5214
250	999
252	91
254	479
256	441
258	377
26	1597
260	845
262	379
264	709
266	303
268	2535
270	234
272	2994
274	977
276	186
278	154
28	161
280	789
282	289
284	1594
286	2045
288	140
290	454
292	293
294	965
296	1875
298	581
30	1966
300	766
302	2116
304	2464
306	1491
308	1894
310	3636
312	111
314	583
316	1732
318	3788
32	225
320	462
322	73
324	44
326	1392
328	759
330	5367
332	587
334	913
336	516
338	231
34	1221
340	269
342	556
344	3500
346	454
348	2029
350	161
352	778
354	2689
356	471
358	411
36	350
360	46
362	1544
364	720
366	684
368	1022
370	679
372	976
374	195
376	303
378	685
38	2374
380	143
382	1154
384	1236
386	1431
388	3686
390	133
392	444
394	671
396	997
398	412
4	241
40	136
400	789
402	831
404	504
406	91
408	1667
410	344
412	1258
414	368
416	244
418	909
42	2166
420	1908
422	1442
424	264
426	11
428	791
430	1722
432	1515
434	251
436	774
438	213
44	828
440	657
442	222
444	421
446	1778
448	6946
450	1509
452	160
454	5927
456	400
458	678
46	112
460	542
462	1023
464	1582
466	2024
468	414
470	169
472	1833
474	1786
476	699
478	1030
48	1478
480	300
482	404
484	3286
486	1719
488	1494
490	2032
492	770
494	873
496	278
498	964
50	1260
500	474
502	887
504	504
506	328
508	150
510	316
512	617
514	2699
516	953
518	1525
52	138
520	388
522	2137
524	1518
526	796
528	2329
530	1007
532	1732
534	487
536	266
538	393
54	340
540	554
542	555
544	992
546	767
548	986
550	223
552	1336
554	1142
556	2047
558	146
56	753
560	480
562	1077
564	119
566	1562
568	118
570	2934
572	996
574	1333
576	234
578	367
58	297
580	941
582	1330
584	1461
586	4299
588	1585
590	2057
592	78
594	107
596	1558
598	865
6	753
60	1433
600	351
602	210
604	1844
606	973
608	69
610	432
612	467
614	1282
616	350
618	1598
62	117
620	156
622	210
624	4301
626	549
628	1239
630	565
632	1224
634	1117
636	1295
638	81
64	1266
640	1414
642	1054
644	349
646	1326
648	843
650	180
652	1272
654	893
656	277
658	38
66	4488
660	661
662	96
664	392
666	518
668	1802
670	974
672	83
674	1255
676	125
678	166
68	673
680	646
682	1800
684	989
686	1159
688	260
690	602
692	563
694	123
696	255
698	109
70	345
700	623
702	667
704	739
706	1374
708	503
710	1493
712	3213
714	670
716	361
718	469
72	719
720	582
722	1781
724	2586
726	355
728	1735
730	518
732	1769
734	1929
736	1149
738	2227
74	2537
740	1295
742	690
744	1313
746	2281
748	759
750	294
752	717
754	286
756	402
758	1045
76	794
760	336
762	114
764	80
766	402
768	1192
770	115
772	804
774	304
776	65
778	3151
78	1530
780	1100
782	361
784	27
786	387
788	906
790	1456
792	29
794	1387
796	346
798	331
8	508
80	317
800	478
802	1434
804	162
806	1109
808	2895
810	2217
812	1303
814	2189
816	221
818	1101
82	2012
820	1647
822	1734
824	99
826	476
828	731
830	366
832	4263
834	811
836	157
838	793
84	790
840	762
842	820
844	770
846	246
848	1729
850	611
852	786
854	468
856	1067
858	1728
86	610
860	1116
862	3560
864	443
866	1245
868	325
870	726
872	2355
874	1979
876	1260
878	268
88	1711
880	763
882	1658
884	1315
886	146
888	57
890	1716
892	66
894	1906
896	692
898	759
90	2113
900	1777
902	2088
904	6224
906	335
908	238
910	1842
912	924
914	490
916	2047
918	2562
92	286
920	202
922	400
924	1860
926	401
928	43
930	2113
932	764
934	280
936	778
938	2250
94	457
940	814
942	44
944	1199
946	192
948	196
950	154
952	1163
954	1567
956	405
958	2222
96	363
960	912
962	1035
964	1000
966	506
968	173
970	879
972	1702
974	2137
976	2013
978	2256
98	349
980	858
982	1041
984	626
986	1215
988	764
990	756
992	1147
994	471
996	1725
