# Suite Report: task101-hnsw-exact-mode-counter-suite

- config: `reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/task101-hnsw-exact-mode-counter-suite.json`
- config_sha256: `9e301364546786fc0914947dc2b2077962d91a9dc7b9fca50e6594d82f913133`
- dry_run: `false`
- steps: completed 15, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| latency-full_lut-1k-kernel-off | latency | latency | `cache_state=task101_full_lut_1k_off`, `count=32`, `ef_search=80`, `max=9.09 ms`, `mean=4.49 ms`, `min=4.09 ms`, `p50=4.34 ms`, `p95=4.66 ms`, `p99=7.74 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=0.84 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-tiled_lut-1k-kernel-on | recall | recall | `ef_search=80`, `mean q-time=6.26 ms`, `ndcg@k=0.9872`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8375`, `recall_ci95_high=0.8641`, `recall_ci95_low=0.8069`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-tiled_lut-1k-kernel-on | latency | latency | `cache_state=task101_tiled_lut_1k_on`, `count=32`, `ef_search=80`, `max=10.9 ms`, `mean=6.30 ms`, `min=5.68 ms`, `p50=6.14 ms`, `p95=6.87 ms`, `p99=9.69 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=0.87 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-tiled_lut-1k-kernel-on | latency | block_kernel_counters | `cache_state=task101_tiled_lut_1k_on`, `candidates=27868`, `command=latency`, `elapsed_ms=82.947638`, `elapsed_nanos=82947638`, `flushes=13321`, `isa=scalar`, `kernel_candidates=0`, `kernel_elapsed_ms=0.000000`, `kernel_elapsed_nanos=0`, `kernel_flushes=0`, `label=ef_search=80`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant_tiled_lut`, `scalar_candidates=27868`, `scalar_elapsed_ms=82.947638`, `scalar_elapsed_nanos=82947638`, `scalar_flushes=13321`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=hnsw` |
| recall-tiled_lut-1k-kernel-off | recall | recall | `ef_search=80`, `mean q-time=4.56 ms`, `ndcg@k=0.9872`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8375`, `recall_ci95_high=0.8641`, `recall_ci95_low=0.8069`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-tiled_lut-1k-kernel-off | latency | latency | `cache_state=task101_tiled_lut_1k_off`, `count=32`, `ef_search=80`, `max=9.85 ms`, `mean=4.85 ms`, `min=4.31 ms`, `p50=4.66 ms`, `p95=5.16 ms`, `p99=8.41 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=0.92 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-int8_approx-1k-kernel-on | recall | recall | `ef_search=80`, `mean q-time=3.95 ms`, `ndcg@k=0.9869`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8344`, `recall_ci95_high=0.8612`, `recall_ci95_low=0.8036`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-int8_approx-1k-kernel-on | latency | latency | `cache_state=task101_int8_approx_1k_on`, `count=32`, `ef_search=80`, `max=8.71 ms`, `mean=4.26 ms`, `min=3.84 ms`, `p50=4.05 ms`, `p95=4.71 ms`, `p99=7.59 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=0.83 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-int8_approx-1k-kernel-on | latency | block_kernel_counters | `cache_state=task101_int8_approx_1k_on`, `candidates=27898`, `command=latency`, `elapsed_ms=25.054665`, `elapsed_nanos=25054665`, `flushes=13350`, `isa=scalar`, `kernel_candidates=0`, `kernel_elapsed_ms=0.000000`, `kernel_elapsed_nanos=0`, `kernel_flushes=0`, `label=ef_search=80`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant_int8`, `scalar_candidates=27898`, `scalar_elapsed_ms=25.054665`, `scalar_elapsed_nanos=25054665`, `scalar_flushes=13350`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=hnsw` |
| recall-int8_approx-1k-kernel-off | recall | recall | `ef_search=80`, `mean q-time=3.66 ms`, `ndcg@k=0.9869`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `queries=64`, `recall@k=0.8344`, `recall_ci95_high=0.8612`, `recall_ci95_low=0.8036`, `recall_p10=0.7000`, `recall_p50=0.9000`, `recall_p90=0.9000`, `recall_trials=640`, `recall_worst=0.6000`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-int8_approx-1k-kernel-off | latency | latency | `cache_state=task101_int8_approx_1k_off`, `count=32`, `ef_search=80`, `max=8.45 ms`, `mean=3.79 ms`, `min=3.38 ms`, `p50=3.61 ms`, `p95=4.00 ms`, `p99=7.08 ms`, `prefix=task101_hnsw_tq_1k`, `profile=ec_hnsw`, `quant=turboquant`, `stddev=0.85 ms`, `storage_format=turboquant`, `suite_database=tqvector_task101`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
wrote reviews/task-101/002-hnsw-exact-mode-counter-evidence/artifacts/results-report.jsonl
