# Suite Report: task111h-1m-rerank-format-width-shared

- config: `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/task111h-1m-rerank-format-width-shared-suite.json`
- config_sha256: `8b7de524e34d23fcc4fc80b5ac0267640816b885f0f4f09f9591077b3bbbaf9e`
- dry_run: `false`
- steps: completed 124, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| recall-1m-index-f16-w32 | recall | recall | `mean q-time=10.11 ms`, `ndcg@k=0.9922`, `nprobe=16`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9150`, `recall_ci95_high=0.9307`, `recall_ci95_low=0.8961`, `recall_p10=0.7900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w32 | recall | recall | `mean q-time=13.15 ms`, `ndcg@k=0.9959`, `nprobe=32`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9470`, `recall_ci95_high=0.9593`, `recall_ci95_low=0.9313`, `recall_p10=0.8900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w32 | recall | recall | `mean q-time=16.76 ms`, `ndcg@k=0.9976`, `nprobe=64`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9620`, `recall_ci95_high=0.9722`, `recall_ci95_low=0.9483`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.4000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w32 | recall | recall | `mean q-time=27.70 ms`, `ndcg@k=0.9994`, `nprobe=128`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9710`, `recall_ci95_high=0.9797`, `recall_ci95_low=0.9587`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.5000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w32 | recall | recall | `mean q-time=38.88 ms`, `ndcg@k=0.9995`, `nprobe=200`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9730`, `recall_ci95_high=0.9814`, `recall_ci95_low=0.9610`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.5000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=158156`, `max=11.0 ms`, `mean=7.39 ms`, `memory_samples=29`, `min=5.70 ms`, `nprobe=8`, `p50=7.37 ms`, `p95=8.79 ms`, `p99=9.15 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=158156`, `stddev=0.86 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=157912`, `max=13.4 ms`, `mean=8.92 ms`, `memory_samples=35`, `min=6.79 ms`, `nprobe=16`, `p50=8.88 ms`, `p95=10.6 ms`, `p99=11.0 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=157912`, `stddev=1.07 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=159720`, `max=16.4 ms`, `mean=11.4 ms`, `memory_samples=44`, `min=8.52 ms`, `nprobe=32`, `p50=11.4 ms`, `p95=13.1 ms`, `p99=13.7 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=159720`, `stddev=1.18 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=164576`, `max=22.3 ms`, `mean=17.1 ms`, `memory_samples=66`, `min=12.9 ms`, `nprobe=64`, `p50=17.0 ms`, `p95=20.1 ms`, `p99=21.6 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=164576`, `stddev=1.72 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=165456`, `max=34.0 ms`, `mean=27.9 ms`, `memory_samples=107`, `min=21.0 ms`, `nprobe=128`, `p50=28.2 ms`, `p95=32.3 ms`, `p99=33.8 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=165456`, `stddev=2.93 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=165704`, `max=48.1 ms`, `mean=40.3 ms`, `memory_samples=154`, `min=30.9 ms`, `nprobe=200`, `p50=40.5 ms`, `p95=47.2 ms`, `p99=48.1 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=165704`, `stddev=3.87 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=845505`, `command=latency`, `elapsed_ms=59.768320`, `elapsed_nanos=59768320`, `flushes=3686`, `isa=avx2`, `kernel_candidates=845505`, `kernel_elapsed_ms=59.768320`, `kernel_elapsed_nanos=59768320`, `kernel_flushes=3686`, `label=nprobe=8`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=42`, `width_8_15=15`, `width_ge32=3618`, `width_lt8=11` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=1628331`, `command=latency`, `elapsed_ms=116.677299`, `elapsed_nanos=116677299`, `flushes=7134`, `isa=avx2`, `kernel_candidates=1628331`, `kernel_elapsed_ms=116.677299`, `kernel_elapsed_nanos=116677299`, `kernel_flushes=7134`, `label=nprobe=16`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=88`, `width_8_15=34`, `width_ge32=6984`, `width_lt8=28` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=3150987`, `command=latency`, `elapsed_ms=232.969931`, `elapsed_nanos=232969931`, `flushes=13897`, `isa=avx2`, `kernel_candidates=3150987`, `kernel_elapsed_ms=232.969931`, `kernel_elapsed_nanos=232969931`, `kernel_flushes=13897`, `label=nprobe=32`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=210`, `width_8_15=70`, `width_ge32=13554`, `width_lt8=63` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=6310771`, `command=latency`, `elapsed_ms=462.841163`, `elapsed_nanos=462841163`, `flushes=27807`, `isa=avx2`, `kernel_candidates=6310771`, `kernel_elapsed_ms=462.841163`, `kernel_elapsed_nanos=462841163`, `kernel_flushes=27807`, `label=nprobe=64`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=415`, `width_8_15=130`, `width_ge32=27132`, `width_lt8=130` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=12502369`, `command=latency`, `elapsed_ms=922.819925`, `elapsed_nanos=922819925`, `flushes=55179`, `isa=avx2`, `kernel_candidates=12502369`, `kernel_elapsed_ms=922.819925`, `kernel_elapsed_nanos=922819925`, `kernel_flushes=55179`, `label=nprobe=128`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=880`, `width_8_15=315`, `width_ge32=53753`, `width_lt8=231` |
| latency-1m-index-f16-w32 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=19375115`, `command=latency`, `elapsed_ms=1499.663714`, `elapsed_nanos=1499663714`, `flushes=85577`, `isa=avx2`, `kernel_candidates=19375115`, `kernel_elapsed_ms=1499.663714`, `kernel_elapsed_nanos=1499663714`, `kernel_flushes=85577`, `label=nprobe=200`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=1397`, `width_8_15=501`, `width_ge32=83308`, `width_lt8=371` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=prefix`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=task111h021_1m_shared` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=corpus`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=task111h021_1m_shared_corpus` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=rows`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=990000`, `value_bytes=990000` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=heap`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=72.3 MiB`, `value_bytes=75812045` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=table (heap + toast + fsm/vm)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=15.3 GiB`, `value_bytes=16428249907` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=indexes`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=3.3 GiB`, `value_bytes=3543348019` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=total`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=18.7 GiB`, `value_bytes=20078972109` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=per row (total)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=20236.8 B`, `value_bytes=20237` |
| storage-1m-index-f16-w32 | storage | storage_field | `field=per row (heap only)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=76.6 B`, `value_bytes=77` |
| storage-1m-index-f16-w32 | storage | storage_index | `access method=ec_ivf`, `index=task111h021_1m_index_f16_w32_idx`, `per row=3568.5 B`, `per_row_bytes=3568.5`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `reloptions={nlists=1024,nprobe=32,training_sample_rows=50000,storage_format=coarse_rerank,coarse_bits=1,rerank=heap_f32,rerank_width=32,rerank_placement=index,rerank_format=f16}`, `size=3.3 GiB`, `size_bytes=3543348019`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| storage-1m-index-f16-w32 | storage | storage_index | `access method=btree`, `index=task111h021_1m_shared_corpus_pkey`, `per row=22.5 B`, `per_row_bytes=22.5`, `prefix=task111h021_1m_shared`, `profile=<unknown>`, `reloptions={}`, `size=21.2 MiB`, `size_bytes=22229811`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-1m-index-f16-w64 | load | load_timing | `phase=build_index`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `seconds=212.330000`, `subject=task111h021_1m_index_f16_w64_idx`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-1m-index-f16-w64 | load | ec_ivf_build_timing | `flush_build_plan_us=32351833`, `heap_ingest_us=51275392`, `heap_tuples=990000`, `index_tuples=990000`, `parallel_begin_us=1161`, `parallel_drain_us=49188246`, `parallel_sort_push_us=2085982`, `parallel_worker_tuple_buffer_capacity=1048576`, `parallel_worker_tuple_buffer_struct_bytes=67108864`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `requested_workers=1`, `stage_assign_us=85229936`, `stage_build_plan_us=95882456`, `stage_centroids_us=2851`, `stage_directory_us=599`, `stage_postings_us=844161`, `stage_pq_train_us=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `train_model_us=32496233`, `workers_launched=1` |
| load-1m-index-f16-w64 | load | load_timing | `phase=total`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `seconds=331.430000`, `subject=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=37.24 ms`, `ndcg@k=0.9896`, `nprobe=8`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.8930`, `recall_ci95_high=0.9107`, `recall_ci95_low=0.8723`, `recall_p10=0.6900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.1000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=15.56 ms`, `ndcg@k=0.9923`, `nprobe=16`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9240`, `recall_ci95_high=0.9389`, `recall_ci95_low=0.9059`, `recall_p10=0.7900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=18.15 ms`, `ndcg@k=0.9960`, `nprobe=32`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9570`, `recall_ci95_high=0.9679`, `recall_ci95_low=0.9426`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.2000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=25.36 ms`, `ndcg@k=0.9978`, `nprobe=64`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9770`, `recall_ci95_high=0.9846`, `recall_ci95_low=0.9657`, `recall_p10=0.9000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.5000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=33.79 ms`, `ndcg@k=0.9996`, `nprobe=128`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9860`, `recall_ci95_high=0.9916`, `recall_ci95_low=0.9766`, `recall_p10=0.9900`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.6000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| recall-1m-index-f16-w64 | recall | recall | `mean q-time=44.13 ms`, `ndcg@k=0.9996`, `nprobe=200`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `queries=100`, `recall@k=0.9880`, `recall_ci95_high=0.9931`, `recall_ci95_low=0.9791`, `recall_p10=1.0000`, `recall_p50=1.0000`, `recall_p90=1.0000`, `recall_trials=1000`, `recall_worst=0.6000`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=164208`, `max=16.1 ms`, `mean=9.48 ms`, `memory_samples=37`, `min=6.41 ms`, `nprobe=8`, `p50=9.38 ms`, `p95=12.6 ms`, `p99=13.4 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=164020`, `stddev=1.74 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=165944`, `max=17.9 ms`, `mean=11.4 ms`, `memory_samples=44`, `min=8.13 ms`, `nprobe=16`, `p50=11.4 ms`, `p95=14.2 ms`, `p99=15.6 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=165060`, `stddev=2.00 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=168788`, `max=20.6 ms`, `mean=13.8 ms`, `memory_samples=53`, `min=10.0 ms`, `nprobe=32`, `p50=13.7 ms`, `p95=16.5 ms`, `p99=17.4 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=168788`, `stddev=1.96 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=170216`, `max=25.7 ms`, `mean=19.5 ms`, `memory_samples=75`, `min=14.3 ms`, `nprobe=64`, `p50=19.8 ms`, `p95=23.3 ms`, `p99=24.6 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=170216`, `stddev=2.51 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=174712`, `max=54.7 ms`, `mean=36.2 ms`, `memory_samples=138`, `min=21.6 ms`, `nprobe=128`, `p50=33.7 ms`, `p95=47.9 ms`, `p99=48.8 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=174712`, `stddev=7.96 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | latency | `cache_state=post_recall_warm`, `count=100`, `hwm_peak_kb=174372`, `max=69.6 ms`, `mean=46.2 ms`, `memory_samples=177`, `min=33.2 ms`, `nprobe=200`, `p50=44.7 ms`, `p95=60.5 ms`, `p99=65.6 ms`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `rss_peak_kb=174372`, `stddev=7.58 ms`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=845505`, `command=latency`, `elapsed_ms=62.427673`, `elapsed_nanos=62427673`, `flushes=3686`, `isa=avx2`, `kernel_candidates=845505`, `kernel_elapsed_ms=62.427673`, `kernel_elapsed_nanos=62427673`, `kernel_flushes=3686`, `label=nprobe=8`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=42`, `width_8_15=15`, `width_ge32=3618`, `width_lt8=11` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=1628331`, `command=latency`, `elapsed_ms=121.582549`, `elapsed_nanos=121582549`, `flushes=7134`, `isa=avx2`, `kernel_candidates=1628331`, `kernel_elapsed_ms=121.582549`, `kernel_elapsed_nanos=121582549`, `kernel_flushes=7134`, `label=nprobe=16`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=88`, `width_8_15=34`, `width_ge32=6984`, `width_lt8=28` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=3150987`, `command=latency`, `elapsed_ms=237.621532`, `elapsed_nanos=237621532`, `flushes=13897`, `isa=avx2`, `kernel_candidates=3150987`, `kernel_elapsed_ms=237.621532`, `kernel_elapsed_nanos=237621532`, `kernel_flushes=13897`, `label=nprobe=32`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=210`, `width_8_15=70`, `width_ge32=13554`, `width_lt8=63` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=6310771`, `command=latency`, `elapsed_ms=455.401894`, `elapsed_nanos=455401894`, `flushes=27807`, `isa=avx2`, `kernel_candidates=6310771`, `kernel_elapsed_ms=455.401894`, `kernel_elapsed_nanos=455401894`, `kernel_flushes=27807`, `label=nprobe=64`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=415`, `width_8_15=130`, `width_ge32=27132`, `width_lt8=130` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=12502369`, `command=latency`, `elapsed_ms=1130.244054`, `elapsed_nanos=1130244054`, `flushes=55179`, `isa=avx2`, `kernel_candidates=12502369`, `kernel_elapsed_ms=1130.244054`, `kernel_elapsed_nanos=1130244054`, `kernel_flushes=55179`, `label=nprobe=128`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=880`, `width_8_15=315`, `width_ge32=53753`, `width_lt8=231` |
| latency-1m-index-f16-w64 | latency | block_kernel_counters | `cache_state=post_recall_warm`, `candidates=19375115`, `command=latency`, `elapsed_ms=1515.418064`, `elapsed_nanos=1515418064`, `flushes=85577`, `isa=avx2`, `kernel_candidates=19375115`, `kernel_elapsed_ms=1515.418064`, `kernel_elapsed_nanos=1515418064`, `kernel_flushes=85577`, `label=nprobe=200`, `prefix=task111h021_1m_shared`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=1397`, `width_8_15=501`, `width_ge32=83308`, `width_lt8=371` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=prefix`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=task111h021_1m_shared` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=corpus`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=task111h021_1m_shared_corpus` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=rows`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=990000`, `value_bytes=990000` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=heap`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=72.3 MiB`, `value_bytes=75812045` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=table (heap + toast + fsm/vm)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=15.3 GiB`, `value_bytes=16428249907` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=indexes`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=3.2 GiB`, `value_bytes=3435973837` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=total`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=18.5 GiB`, `value_bytes=19864223744` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=per row (total)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=20109.6 B`, `value_bytes=20110` |
| storage-1m-index-f16-w64 | storage | storage_field | `field=per row (heap only)`, `prefix=task111h021_1m_shared`, `suite_database=task111h_rerank_1m`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=76.6 B`, `value_bytes=77` |
