# Suite Report: task111h-1m-rerank-format-width-shared

- config: `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/task111h-1m-rerank-format-width-shared-suite.json`
- config_sha256: `8b7de524e34d23fcc4fc80b5ac0267640816b885f0f4f09f9591077b3bbbaf9e`
- dry_run: `false`
- steps: completed 124, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| recall-1m-index-f16-w64 | recall | Succeeded | 24081 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-f16-w64.log` |
| latency-1m-index-f16-w64 | latency | Succeeded | 25328 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-f16-w64.log` |
| storage-1m-index-f16-w64 | storage | Succeeded | 45 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-f16-w64.log` |
| drop-1m-index-f16-w64-after | raw | Succeeded | 179 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-f16-w64-after.log` |
| drop-1m-index-f16-w128-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-f16-w128-before.log` |
| load-1m-index-f16-w128 | load | Succeeded | 308119 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-f16-w128.log` |
| recall-1m-index-f16-w128 | recall | Succeeded | 30833 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-f16-w128.log` |
| latency-1m-index-f16-w128 | latency | Succeeded | 28710 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/latency-1m-index-f16-w128.log` |
| storage-1m-index-f16-w128 | storage | Succeeded | 44 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/storage-1m-index-f16-w128.log` |
| drop-1m-index-f16-w128-after | raw | Succeeded | 242 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-f16-w128-after.log` |
| drop-1m-index-f16-w256-before | raw | Succeeded | 12 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/drop-1m-index-f16-w256-before.log` |
| load-1m-index-f16-w256 | load | Succeeded | 304858 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/load-1m-index-f16-w256.log` |
| recall-1m-index-f16-w256 | recall | Succeeded | 48558 | `reviews/task-111h/021-rerank-suite-1m-shared/artifacts/suite/recall-1m-index-f16-w256.log` |
