101	609
103	418
105	1692
107	1209
109	112
11	1227
111	682
113	1659
115	1597
117	612
119	60
121	514
123	277
125	1400
127	666
129	76
13	451
131	104
133	4478
135	64
137	4370
139	18
141	147
143	3074
145	2332
147	376
149	802
15	1995
151	954
153	1671
155	1112
157	1727
159	187
161	209
163	693
165	182
167	645
169	348
17	561
171	101
173	658
175	1236
177	439
179	331
181	1565
183	1069
185	540
187	420
189	100
19	572
191	439
193	1155
195	1752
197	4445
199	1486
201	356
203	3318
205	770
207	1811
209	543
21	234
211	230
213	4253
215	303
217	81
219	304
221	461
223	340
225	820
227	1732
229	233
23	825
231	1518
233	290
235	181
237	354
239	18
241	351
243	87
245	271
247	3612
249	1554
25	676
251	39
253	42
255	1275
257	498
259	416
261	314
263	571
265	131
267	1953
269	3150
27	2608
271	568
273	494
275	93
277	345
279	585
281	214
283	411
285	629
287	1018
289	813
29	1883
291	353
293	41
295	2948
297	1592
299	1731
3	752
301	805
303	278
305	1822
307	996
309	1255
31	1276
311	311
313	49
315	2523
317	16
319	349
321	739
323	3206
325	1258
327	3207
329	18
33	44
331	528
333	298
335	661
337	762
339	93
341	1952
343	349
345	386
347	1009
349	2799
35	1714
351	1010
353	1733
355	2222
357	962
359	299
361	977
363	2732
365	421
367	215
369	1199
37	1492
371	470
373	1802
375	1919
377	170
379	107
381	839
383	1175
385	1433
387	541
389	1507
39	348
391	1789
393	1252
395	1257
397	224
399	1604
401	1073
403	646
405	640
407	977
409	1849
41	1196
411	234
413	769
415	4157
417	619
419	165
421	502
423	820
425	660
427	958
429	2446
43	667
431	1080
433	228
435	94
437	350
439	130
441	4576
443	1519
445	700
447	2190
449	288
45	327
451	554
453	235
455	401
457	1058
459	1252
461	934
463	577
465	672
467	507
469	430
47	113
471	383
473	245
475	143
477	1047
479	2664
481	288
483	1563
485	1422
487	1143
489	1602
49	673
491	1352
493	203
495	702
497	1723
499	912
5	1528
501	1562
503	1184
505	337
507	656
509	986
51	803
511	1251
513	717
515	914
517	1406
519	1233
521	730
523	2340
525	587
527	863
529	643
53	397
531	686
533	2828
535	1248
537	85
539	1103
541	1006
543	522
545	661
547	627
549	1297
55	1071
551	683
553	403
555	259
557	341
559	367
561	1850
563	430
565	7457
567	187
569	191
57	310
571	1562
573	854
575	386
577	530
579	833
581	193
583	333
585	289
587	693
589	1827
59	926
591	141
593	202
595	396
597	2430
599	243
601	291
603	2013
605	1041
607	574
609	1640
61	1135
611	257
613	2527
615	941
617	1583
619	315
621	450
623	2012
625	3254
627	687
629	1085
63	1118
631	1195
633	1588
635	657
637	774
639	157
641	486
643	1335
645	533
647	911
649	390
65	392
651	832
653	189
655	225
657	408
659	166
661	534
663	175
665	21
667	784
669	209
67	244
671	483
673	300
675	578
677	3476
679	617
681	846
683	459
685	1760
687	1317
689	298
69	1044
691	163
693	478
695	2244
697	607
699	1295
7	84
701	700
703	1399
705	568
707	1132
709	1615
71	2092
711	82
713	924
715	128
717	795
719	1366
721	115
723	83
725	4938
727	1981
729	1055
73	326
731	884
733	1385
735	35
737	647
739	518
741	1263
743	313
745	650
747	950
749	3366
75	1330
751	4835
753	2191
755	4120
757	941
759	459
761	483
763	802
765	912
767	502
769	2629
77	1535
771	129
773	67
775	3602
777	597
779	573
781	1078
783	2388
785	3442
787	1540
789	1261
79	52
791	46
793	731
795	1789
797	1940
799	939
801	354
803	1382
805	958
807	1083
809	943
81	156
811	341
813	290
815	1437
817	579
819	597
821	1205
823	117
825	64
827	323
829	229
83	266
831	3072
833	53
835	171
837	334
839	1030
841	665
843	1154
845	1047
847	584
849	1154
85	1159
851	749
853	460
855	3066
857	2754
859	2400
861	584
863	728
865	422
867	874
869	608
87	2251
871	704
873	876
875	705
877	629
879	17
881	402
883	434
885	224
887	1835
889	637
89	682
891	545
893	1215
895	726
897	119
899	913
9	2397
901	1089
903	184
905	988
907	1811
909	383
91	813
911	716
913	2168
915	608
917	163
919	332
921	867
923	1709
925	564
927	75
929	744
93	349
931	131
933	2239
935	541
937	1092
939	1949
941	769
943	683
945	45
947	200
949	459
95	1967
951	1008
953	790
955	800
957	1005
959	112
961	532
963	1468
965	257
967	1161
969	1620
97	372
971	1132
973	270
975	632
977	977
979	358
981	397
983	4690
985	297
987	706
989	1361
99	641
991	448
993	579
995	654
