3	990002	2	796826	796827	target_block_ranked	3313	1152	0.3964529	0.43260837	-0.036155462	13	0.6081227	6	1147	1136	1152	16	1
3	990002	3	604659	604660	target_block_ranked	8789	1152	0.35654825	0.43260837	-0.07606012	69	0.29788002	52	5245	5232	5248	16	1
4	990003	2	989994	989995	target_block_ranked	1612	1152	0.4435517	0.45729005	-0.013738364	1	0.8694771	103	771	768	784	16	1
5	990004	6	989994	989995	target_block_ranked	3640	1152	0.4079567	0.45103222	-0.04307553	10	0.684382	103	771	768	784	16	1
6	990005	10	989994	989995	target_block_ranked	2067	1152	0.44739896	0.47394836	-0.026549399	3	0.9102914	103	771	768	784	16	1
8	990007	1	989994	989995	target_block_ranked	1311	1152	0.4411086	0.44594127	-0.004832655	3	0.81649584	103	771	768	784	16	1
38	990037	4	487281	487282	target_block_ranked	2939	1152	0.34130153	0.36964047	-0.028338939	84	0.23114538	6	5307	5296	5312	16	1
38	990037	7	230767	230768	target_block_ranked	1549	1152	0.36077118	0.36964047	-0.00886929	20	0.3547964	110	602	592	608	16	1
39	990038	9	487281	487282	target_block_ranked	2308	1152	0.36470193	0.3891666	-0.024464667	32	0.38085172	6	5307	5296	5312	16	1
45	990044	1	566865	566866	target_block_ranked	9710	1152	0.3643387	0.42444193	-0.060103238	49	0.4893446	107	1752	1744	1760	16	1
45	990044	4	985538	985539	target_block_ranked	3631	1152	0.394803	0.42444193	-0.029638946	34	0.57631147	12	11810	11808	11824	16	1
54	990053	9	908588	908589	target_block_ranked	2096	1152	0.3792307	0.40309328	-0.02386257	44	0.34197798	53	2791	2784	2800	16	1
61	990060	3	989561	989562	target_block_ranked	1552	1152	0.40831453	0.41488865	-0.006574124	19	0.6124928	49	2121	2112	2128	16	1
61	990060	7	986594	986595	target_block_ranked	3372	1152	0.38955224	0.41488865	-0.025336415	7	0.65712047	14	1464	1456	1472	16	1
61	990060	8	988442	988443	target_block_ranked	2139	1152	0.40016478	0.41488865	-0.014723867	50	0.4722218	105	10722	10720	10736	16	1
65	990064	8	116894	116895	target_block_ranked	1848	1152	0.41714266	0.43019384	-0.013051182	40	0.52529866	83	13894	13888	13904	16	1
67	990066	7	876638	876639	target_block_ranked	1164	1152	0.46731997	0.46775705	-0.00043708086	5	0.9128573	62	2146	2144	2160	16	1
96	990095	6	440140	440141	target_block_ranked	3094	1152	0.38396904	0.41913345	-0.035164416	14	0.53754723	68	338	336	352	16	1
97	990096	4	648945	648946	target_block_ranked	7051	1152	0.37753612	0.43912625	-0.061590135	88	0.25132215	52	5143	5136	5152	16	1
102	990101	4	23309	23310	target_block_ranked	5654	1152	0.36167738	0.4078039	-0.046126515	27	0.48104012	114	3958	3952	3968	16	1
109	990108	8	559805	559806	target_block_ranked	1663	1152	0.3981817	0.40760407	-0.009422362	13	0.6550792	125	4428	4416	4432	16	1
120	990119	5	377127	377128	target_block_ranked	10032	1152	0.326383	0.3946349	-0.06825191	26	0.41645736	17	1926	1920	1936	16	1
138	990137	5	989842	989843	target_block_ranked	1154	1152	0.4076667	0.40775967	-9.295344e-05	38	0.3811593	6	2589	2576	2592	16	1
144	990143	8	652660	652661	target_block_ranked	1884	1152	0.38660794	0.40681222	-0.020204276	3	0.5779984	4	691	688	704	16	1
160	990159	7	446403	446404	target_block_ranked	1161	1152	0.4302669	0.43048304	-0.00021615624	2	0.7204158	88	3819	3808	3824	16	1
164	990163	8	180378	180379	target_block_ranked	3659	1152	0.42522055	0.453579	-0.02835846	17	0.7487578	56	2306	2304	2320	16	1
169	990168	6	652825	652826	target_block_ranked	3010	1152	0.38600618	0.41272116	-0.02671498	19	0.58378166	93	2094	2080	2096	16	1
170	990169	9	361660	361661	target_block_ranked	1713	1152	0.43535036	0.45099896	-0.015648603	8	0.7124379	61	7866	7856	7872	16	1
172	990171	3	463584	463585	target_block_ranked	1361	1152	0.44750473	0.452788	-0.0052832663	2	0.9009999	41	383	368	384	16	1
178	990177	3	228322	228323	target_block_ranked	2079	1152	0.44481188	0.46114397	-0.01633209	33	0.6393486	77	3148	3136	3152	16	1
178	990177	10	168945	168946	target_block_ranked	3937	1152	0.42431688	0.46114397	-0.036827087	13	0.77145517	104	5539	5536	5552	16	1
181	990180	9	503757	503758	target_block_ranked	2820	1152	0.38497698	0.40821588	-0.023238897	14	0.5997565	57	1841	1840	1856	16	1
196	990195	8	763647	763648	target_block_ranked	3716	1152	0.39148122	0.4324881	-0.041006893	22	0.4215259	109	1212	1200	1216	16	1
197	990196	6	542116	542117	target_block_ranked	1251	1152	0.45789284	0.4608396	-0.0029467642	2	0.9565292	60	5669	5664	5680	16	1
199	990198	10	984565	984566	target_block_ranked	1438	1152	0.47077125	0.48023167	-0.009460419	1	1.0811834	60	1007	992	1008	16	1
203	990202	3	640576	640577	target_block_ranked	1836	1152	0.45391896	0.4692077	-0.01528874	6	0.94097805	105	6249	6240	6256	16	1
204	990203	5	640576	640577	target_block_ranked	1343	1152	0.47697014	0.48275	-0.0057798624	5	0.9997307	105	6249	6240	6256	16	1
204	990203	8	542116	542117	target_block_ranked	1579	1152	0.470335	0.48275	-0.012414992	4	1.0012681	60	5669	5664	5680	16	1
204	990203	9	542115	542116	target_block_ranked	1463	1152	0.47372198	0.48275	-0.0090280175	4	1.0012681	60	5631	5616	5632	16	1
214	990213	10	195542	195543	target_block_ranked	8800	1152	0.39315987	0.45727408	-0.06411421	16	0.73217654	97	5164	5152	5168	16	1
216	990215	10	566323	566324	target_block_ranked	2409	1152	0.37819025	0.39785212	-0.019661874	54	0.4177986	88	3389	3376	3392	16	1
221	990220	7	183532	183533	target_block_ranked	5196	1152	0.4290886	0.4868738	-0.057785213	30	0.65501827	54	8143	8128	8144	16	1
221	990220	10	274547	274548	target_block_ranked	1289	1152	0.4834397	0.4868738	-0.0034340918	26	0.69273925	41	2773	2768	2784	16	1
245	990244	7	632701	632702	target_block_ranked	1479	1152	0.4486282	0.46065742	-0.012029231	27	0.5611689	69	2401	2400	2416	16	1
248	990247	9	954701	954702	target_block_ranked	1826	1152	0.43223727	0.44614664	-0.01390937	17	0.6659485	10	3844	3840	3856	16	1
263	990262	2	310484	310485	target_block_ranked	2571	1152	0.41781962	0.44314063	-0.025321007	5	0.7082814	115	4589	4576	4592	16	1
263	990262	6	459732	459733	target_block_ranked	3884	1152	0.40542695	0.44314063	-0.037713677	16	0.6586126	23	1227	1216	1232	16	1
263	990262	10	892078	892079	target_block_ranked	2988	1152	0.4133317	0.44314063	-0.029808939	9	0.6906135	49	34	32	48	16	1
267	990266	10	339730	339731	target_block_ranked	4035	1152	0.3952942	0.43641913	-0.04112494	9	0.70565647	58	4928	4928	4944	16	1
273	990272	8	709263	709264	target_block_ranked	1421	1152	0.40284535	0.4081602	-0.005314857	79	0.3774165	62	2881	2880	2896	16	1
276	990275	6	191131	191132	target_block_ranked	1554	1152	0.41910112	0.4270779	-0.00797677	14	0.60003436	7	4040	4032	4048	16	1
303	990302	1	257078	257079	target_block_ranked	1363	1152	0.4195221	0.42572838	-0.006206274	2	0.8001286	52	1780	1776	1792	16	1
303	990302	7	253462	253463	target_block_ranked	1301	1152	0.42148697	0.42572838	-0.004241407	19	0.595401	85	6836	6832	6848	16	1
