row	global_blocks	candidates	latency_p50_ms	latency_p95_ms	recall_at_10	returned_sum	packet037_baseline_p50_ms	p50_delta_ms	gate
fast_path	736	4657668	47.909	55.607	0.9925	2000	48.853	-0.944	fail_p50
fast_path	768	4860209	48.989	56.668	0.9925	2000	49.017	-0.028	fail_p50
