# Suite Report: task106-intel-ivf-rabitq-multibit

- config: `reviews/task-106/002-intel-avx2-bench/task106-intel-ivf-rabitq-multibit.json`
- config_sha256: `62bdb3fae7d12b5d3129f3bcb983c132de6871d7985f7fd6d3cbf931fd735e97`
- dry_run: `false`
- steps: completed 8, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| latency-ivf-rb2 | latency | latency | `cache_state=unspecified`, `count=200`, `isa=avx2`, `max=11.2 ms`, `mean=7.89 ms`, `min=5.68 ms`, `nprobe=16`, `p50=7.93 ms`, `p95=9.05 ms`, `p99=9.73 ms`, `prefix=task106_intel_ivf_rb2`, `profile=ec_ivf`, `quant=rabitq`, `stddev=0.80 ms`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-rb2 | latency | block_kernel_counters | `candidates=530088`, `command=latency`, `elapsed_ms=1204.133105`, `elapsed_nanos=1204133105`, `flushes=2163`, `isa=avx2`, `kernel_candidates=530088`, `kernel_elapsed_ms=1204.133105`, `kernel_elapsed_nanos=1204133105`, `kernel_flushes=2163`, `label=nprobe=16`, `prefix=task106_intel_ivf_rb2`, `profile=ec_ivf`, `quant=rabitq`, `scalar_candidates=0`, `scalar_elapsed_ms=0.000000`, `scalar_elapsed_nanos=0`, `scalar_flushes=0`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `surface=ivf`, `width_16_31=6`, `width_8_15=5`, `width_ge32=2148`, `width_lt8=4` |
| load-ivf-rb4 | load | load_timing | `phase=copy_corpus`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `seconds=4.110000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb4_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb4 | load | load_timing | `phase=encode_corpus`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `seconds=2.690000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb4_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb4 | load | load_timing | `phase=copy_queries`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `seconds=0.102990`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb4_queries`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb4 | load | load_timing | `phase=build_index`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `seconds=1.190000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb4_rabitq_idx`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb4 | load | load_timing | `phase=total`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `seconds=9.180000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb4`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-rb4 | latency | latency | `cache_state=unspecified`, `count=200`, `isa=avx2`, `max=6.15 ms`, `mean=2.80 ms`, `min=2.23 ms`, `nprobe=16`, `p50=2.76 ms`, `p95=3.21 ms`, `p99=3.76 ms`, `prefix=task106_intel_ivf_rb4`, `profile=ec_ivf`, `quant=rabitq`, `stddev=0.34 ms`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb8 | load | load_timing | `phase=copy_corpus`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `seconds=4.060000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb8_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb8 | load | load_timing | `phase=encode_corpus`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `seconds=2.700000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb8_corpus`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb8 | load | load_timing | `phase=copy_queries`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `seconds=0.098970`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb8_queries`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb8 | load | load_timing | `phase=build_index`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `seconds=1.260000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb8_rabitq_idx`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| load-ivf-rb8 | load | load_timing | `phase=total`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `seconds=9.220000`, `storage_format=rabitq`, `subject=task106_intel_ivf_rb8`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| latency-ivf-rb8 | latency | latency | `cache_state=unspecified`, `count=200`, `isa=avx2`, `max=5.89 ms`, `mean=2.36 ms`, `min=1.64 ms`, `nprobe=16`, `p50=2.28 ms`, `p95=2.88 ms`, `p99=3.14 ms`, `prefix=task106_intel_ivf_rb8`, `profile=ec_ivf`, `quant=rabitq`, `stddev=0.38 ms`, `storage_format=rabitq`, `suite_database=postgres`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
wrote reviews/task-106/002-intel-avx2-bench/artifacts/suite/results.jsonl
